1835	1
 972	2
 408	3
 306	4
 210	5
 171	6
 116	7
  97	8
  85	9
  62	10
  59	11
  42	13
  42	12
  39	15
  33	16
  33	14
  26	18
  23	17
  21	22
  20	23
  20	19
  19	25
  18	21
  18	20
  15	27
  15	26
  15	24
  14	28
  12	51
  12	30
  12	29
  10	32
   9	31
   8	34
   7	50
   7	38
   7	37
   6	42
   6	41
   6	33
   5	63
   5	59
   5	48
   5	47
   5	46
   5	45
   5	36
   5	35
   4	89
   4	84
   4	79
   4	71
   4	69
   4	55
   4	54
   4	53
   4	49
   4	40
   4	39
   4	140
   3	94
   3	82
   3	64
   3	61
   3	56
   3	44
   3	43
   3	127
   3	123
   3	106
   2	97
   2	95
   2	93
   2	88
   2	81
   2	80
   2	77
   2	72
   2	698
   2	67
   2	66
   2	62
   2	58
   2	52
   2	177
   2	158
   2	142
   2	124
   2	120
   2	114
   2	112
   2	110
   2	102
   2	101
   1	99
   1	92
   1	90
   1	85
   1	83
   1	805
   1	75
   1	74
   1	73
   1	70
   1	68
   1	65
   1	60
   1	57
   1	552
   1	498
   1	496
   1	478
   1	392
   1	3580
   1	288
   1	287
   1	285
   1	282
   1	273
   1	270
   1	243
   1	228
   1	220
   1	194
   1	192
   1	188
   1	187
   1	181
   1	1790
   1	172
   1	168
   1	164
   1	160
   1	159
   1	151
   1	146
   1	144
   1	138
   1	134
   1	1261
   1	126
   1	125
   1	121
   1	119
   1	117
   1	115
   1	111
   1	104
   1	103
